Freq.	V(n018)	V(n019)
1.00000000000000e+01	(4.29689423441978e+00dB,-1.34585673819499e-02°)	(-1.19737597975456e+02dB,-9.00135279857349e+01°)
1.04712854805090e+01	(4.29689420429460e+00dB,-1.40928486143961e-02°)	(-1.19337598005543e+02dB,-9.00141655385547e+01°)
1.09647819614319e+01	(4.29689417020878e+00dB,-1.47570223781617e-02°)	(-1.18937598039588e+02dB,-9.00148331380913e+01°)
1.14815362149688e+01	(4.29689413331963e+00dB,-1.54524974321822e-02°)	(-1.18537598076431e+02dB,-9.00155322003700e+01°)
1.20226443461741e+01	(4.29689409282850e+00dB,-1.61807489234058e-02°)	(-1.18137598116873e+02dB,-9.00162642081468e+01°)
1.25892541179417e+01	(4.29689404887075e+00dB,-1.69433215148159e-02°)	(-1.17737598160776e+02dB,-9.00170307140524e+01°)
1.31825673855641e+01	(4.29689400010255e+00dB,-1.77418326609658e-02°)	(-1.17337598209484e+02dB,-9.00178333438844e+01°)
1.38038426460289e+01	(4.29689394658932e+00dB,-1.85779760374495e-02°)	(-1.16937598262931e+02dB,-9.00186738000548e+01°)
1.44543977074593e+01	(4.29689388787440e+00dB,-1.94535251322695e-02°)	(-1.16537598321574e+02dB,-9.00195538651996e+01°)
1.51356124843621e+01	(4.29689382393911e+00dB,-2.03703370059031e-02°)	(-1.16137598385431e+02dB,-9.00204754059586e+01°)
1.58489319246111e+01	(4.29689375423557e+00dB,-2.13303562288335e-02°)	(-1.15737598455047e+02dB,-9.00214403769330e+01°)
1.65958690743756e+01	(4.29689367719931e+00dB,-2.23356190041430e-02°)	(-1.15337598531989e+02dB,-9.00224508248292e+01°)
1.73780082874938e+01	(4.29689359265384e+00dB,-2.33882574843289e-02°)	(-1.14937598616430e+02dB,-9.00235088927982e+01°)
1.81970085860999e+01	(4.29689349987741e+00dB,-2.44905042912588e-02°)	(-1.14537598709092e+02dB,-9.00246168249787e+01°)
1.90546071796325e+01	(4.29689339856223e+00dB,-2.56446972490819e-02°)	(-1.14137598810282e+02dB,-9.00257769712545e+01°)
1.99526231496888e+01	(4.29689328736018e+00dB,-2.68532843396012e-02°)	(-1.13737598921347e+02dB,-9.00269917922352e+01°)
2.08929613085404e+01	(4.29689316532307e+00dB,-2.81188288911102e-02°)	(-1.13337599043234e+02dB,-9.00282638644723e+01°)
2.18776162394956e+01	(4.29689303189399e+00dB,-2.94440150112863e-02°)	(-1.12937599176498e+02dB,-9.00295958859198e+01°)
2.29086765276778e+01	(4.29689288545325e+00dB,-3.08316532757015e-02°)	(-1.12537599322758e+02dB,-9.00309906816522e+01°)
2.39883291901949e+01	(4.29689272475488e+00dB,-3.22846866840488e-02°)	(-1.12137599483258e+02dB,-9.00324512098514e+01°)
2.51188643150958e+01	(4.29689254891607e+00dB,-3.38061968965759e-02°)	(-1.11737599658880e+02dB,-9.00339805680755e+01°)
2.63026799189539e+01	(4.29689235596162e+00dB,-3.53994107637304e-02°)	(-1.11337599851596e+02dB,-9.00355819998220e+01°)
2.75422870333817e+01	(4.29689214425554e+00dB,-3.70677071631786e-02°)	(-1.10937600063042e+02dB,-9.00372589014001e+01°)
2.88403150312661e+01	(4.29689191297174e+00dB,-3.88146241581364e-02°)	(-1.10537600294039e+02dB,-9.00390148291264e+01°)
3.01995172040202e+01	(4.29689165918667e+00dB,-4.06438664925635e-02°)	(-1.10137600547511e+02dB,-9.00408535068584e+01°)
3.16227766016839e+01	(4.29689138171961e+00dB,-4.25593134386066e-02°)	(-1.09737600824635e+02dB,-9.00427788338826e+01°)
3.31131121482592e+01	(4.29689107533483e+00dB,-4.45650270135291e-02°)	(-1.09337601130643e+02dB,-9.00447948931739e+01°)
3.46736850452532e+01	(4.29689074180119e+00dB,-4.66652605819955e-02°)	(-1.08937601463764e+02dB,-9.00469059600424e+01°)
3.63078054770102e+01	(4.29689037590290e+00dB,-4.88644678644624e-02°)	(-1.08537601829210e+02dB,-9.00491165111884e+01°)
3.80189396320562e+01	(4.29688997553374e+00dB,-5.11673123676621e-02°)	(-1.08137602229084e+02dB,-9.00514312341815e+01°)
3.98107170553498e+01	(4.29688953637456e+00dB,-5.35786772596250e-02°)	(-1.07737602667701e+02dB,-9.00538550373869e+01°)
4.16869383470336e+01	(4.29688905523816e+00dB,-5.61036757088164e-02°)	(-1.07337603148242e+02dB,-9.00563930603575e+01°)
4.36515832240167e+01	(4.29688852763312e+00dB,-5.87476617094849e-02°)	(-1.06937603675196e+02dB,-9.00590506847159e+01°)
4.57088189614876e+01	(4.29688795110550e+00dB,-6.15162414169299e-02°)	(-1.06537604251010e+02dB,-9.00618335455477e+01°)
4.78630092322640e+01	(4.29688731894248e+00dB,-6.44152850161625e-02°)	(-1.06137604882391e+02dB,-9.00647475433320e+01°)
5.01187233627274e+01	(4.29688662687995e+00dB,-6.74509391492352e-02°)	(-1.05737605573597e+02dB,-9.00677988564325e+01°)
5.24807460249774e+01	(4.29688586921044e+00dB,-7.06296399282393e-02°)	(-1.05337606330328e+02dB,-9.00709939541785e+01°)
5.49540873857626e+01	(4.29688503873873e+00dB,-7.39581265619925e-02°)	(-1.04937607159773e+02dB,-9.00743396105613e+01°)
5.75439937337159e+01	(4.29688413010807e+00dB,-7.74434556246712e-02°)	(-1.04537608067279e+02dB,-9.00778429185770e+01°)
6.02559586074359e+01	(4.29688313685925e+00dB,-8.10930159986333e-02°)	(-1.04137609059296e+02dB,-9.00815113052468e+01°)
6.30957344480195e+01	(4.29688204848466e+00dB,-8.49145445231508e-02°)	(-1.03737610146322e+02dB,-9.00853525473462e+01°)
6.60693448007598e+01	(4.29688085807445e+00dB,-8.89161423818688e-02°)	(-1.03337611335256e+02dB,-9.00893747878773e+01°)
6.91830970918939e+01	(4.29687955599059e+00dB,-9.31062922663751e-02°)	(-1.02937612635723e+02dB,-9.00935865533213e+01°)
